dog,nseg,kb_avg,kb_total,coi
4508,3074,974462,317.001,0.442181
4515,2182,853502,391.156,0.387293
4516,2222,482172,216.999,0.218795
4525,2496,551809,221.077,0.250394
4529,2771,670903,242.116,0.304435
4533,2438,625685,256.639,0.283916
4537,2297,1.06017e+06,461.544,0.481072
4542,1043,183971,176.386,0.0834803
4544,2155,492923,228.735,0.223673
4545,2321,510953,220.143,0.231855
4546,2824,803626,284.57,0.36466
4547,2534,581983,229.67,0.264086
4549,2611,1.29801e+06,497.132,0.588997
4551,2219,478372,215.58,0.21707
4552,2248,473932,210.824,0.215056
4572,2713,719405,265.17,0.326444
4573,2475,625071,252.554,0.283638
4575,2353,523098,222.311,0.237366
4577,2400,512247,213.436,0.232442
4578,2548,576795,226.372,0.261732
4579,2285,520176,227.648,0.23604
4580,3325,951223,286.082,0.431635
4581,2219,522221,235.341,0.236968
4603,2875,1.09533e+06,380.985,0.497027
4606,2492,815929,327.42,0.370243
4608,2390,514601,215.314,0.23351
4609,2089,475884,227.804,0.215941
4615,2387,529577,221.859,0.240306
4618,2996,1.05021e+06,350.538,0.476553
4619,2754,957939,347.836,0.434683
4623,2616,577837,220.886,0.262204
4625,2261,457247,202.232,0.207484
4626,2531,623236,246.241,0.282805
4629,2478,556427,224.547,0.252489
4630,2424,543287,224.128,0.246527
4631,2440,526987,215.978,0.23913
4644,2457,735598,299.389,0.333791
4648,2455,539006,219.554,0.244584
4649,872,161591,185.31,0.073325
4651,2371,573108,241.716,0.260059
4652,2725,753546,276.531,0.341936
4653,2597,1.01314e+06,390.119,0.459731
4655,2588,806566,311.656,0.365995
4657,2447,571972,233.744,0.259543
4658,2537,832690,328.219,0.377849
4660,2300,569565,247.637,0.258451
4661,2489,589096,236.68,0.267313
4662,2516,589162,234.166,0.267343
4663,2265,493865,218.042,0.224101
4666,2258,727142,322.029,0.329954
4672,2477,527660,213.024,0.239436
4677,2651,843862,318.319,0.382918
4680,2023,409506,202.425,0.185821
4691,2405,571688,237.708,0.259414
4692,2421,945344,390.477,0.428968
4699,2439,568203,232.965,0.257833
4702,1926,473399,245.794,0.214814
4715,2237,496845,222.103,0.225453
4719,2104,460694,218.961,0.209049
4734,2469,538182,217.976,0.24421
4743,2453,599545,244.413,0.272055
4747,2541,759732,298.989,0.344743
4751,2707,711960,263.007,0.323065
4767,2413,577481,239.321,0.262043
4781,2507,587094,234.182,0.266405
4790,2516,551282,219.11,0.250155
4791,2489,568433,228.378,0.257937
4792,2343,542869,231.698,0.246337
4793,2539,572745,225.579,0.259894
4798,2087,659283,315.9,0.299162
4805,2656,680580,256.242,0.308826
4807,2422,580529,239.69,0.263426
4811,2148,507603,236.314,0.230334
4835,2985,928716,311.128,0.421422
4869,2929,778264,265.71,0.353152
4877,2173,485508,223.428,0.220308
4887,2513,587670,233.852,0.266666
4892,2604,774317,297.357,0.351361
4907,2777,961171,346.119,0.436149
4929,2489,588587,236.475,0.267082
4944,1613,319149,197.86,0.14482
4945,2312,1.00203e+06,433.402,0.45469
4946,2301,1.00467e+06,436.623,0.455888
4949,2298,991084,431.281,0.449723
4972,2396,521194,217.527,0.236502
5020,2146,1.07641e+06,501.588,0.488441
5021,2387,536155,224.614,0.24329
5025,2427,536834,221.192,0.243599
5026,2299,795638,346.08,0.361036
5038,2449,552199,225.479,0.250571
5040,2415,841957,348.637,0.382054
5042,2484,568389,228.82,0.257917
5063,2277,518678,227.79,0.23536
5071,2274,543486,239,0.246617
5076,2279,689497,302.544,0.312872
5083,2279,476330,209.008,0.216144
5085,3200,1.00601e+06,314.379,0.456496
